,都道府県名,市区町村名,大字町丁目名,住所コード,"都道府県+
市区町村",大字・町,丁目,,市区町村コード,"大字町丁目
コード",Bゾーンコード,,,Bゾーン名称,,1.買物・娯楽施設,2.交通・物流施設,3.公共施設,4.その他,*
,北海道,,,01000 000 00,01000,000,00,,1000,10000000000,01,000,00,,,,,,,*
,青森県,,,02000 000 00,02000,000,00,,2000,20000000000,02,000,00,,,,,,,*
,岩手県,,,03000 000 00,03000,000,00,,3000,30000000000,03,000,00,,,,,,,*
,宮城県,,,04000 000 00,04000,000,00,,4000,40000000000,04,000,00,,,,,,,*
,秋田県,,,05000 000 00,05000,000,00,,5000,50000000000,05,000,00,,,,,,,*
,山形県,,,06000 000 00,06000,000,00,,6000,60000000000,06,000,00,,,,,,,*
,福島県,,,07000 000 00,07000,000,00,,7000,70000000000,07,000,00,,,,,,,*
,茨城県,,,08000 000 00,08000,000,00,,8000,80000000000,08,000,00,,,,,,,*
,栃木県,,,09000 000 00,09000,000,00,,9000,90000000000,09,000,00,,,,,,,*
,群馬県,,,10000 000 00,10000,000,00,,10000,100000000000,10,000,00,,,,,,,*
,埼玉県,,,11000 000 00,11000,000,00,,11000,110000000000,11,000,00,,,,,,,*
,千葉県,,,12000 000 00,12000,000,00,,12000,120000000000,12,000,00,,,,,,,*
,東京都,,,13000 000 00,13000,000,00,,13000,130000000000,13,000,00,,,,,,,*
,神奈川県,,,14000 000 00,14000,000,00,,14000,140000000000,14,000,00,,,,,,,*
,新潟県,,,15000 000 00,15000,000,00,,15000,150000000000,15,000,00,,,,,,,*
,富山県,,,16000 000 00,16000,000,00,,16000,160000000000,16,000,00,,,,,,,*
,石川県,,,17000 000 00,17000,000,00,,17000,170000000000,17,000,00,,,,,,,*
,福井県,,,18000 000 00,18000,000,00,,18000,180000000000,18,000,00,,,,,,,*
,山梨県,,,19000 000 00,19000,000,00,,19000,190000000000,19,000,00,,,,,,,*
,長野県,,,20000 000 00,20000,000,00,,20000,200000000000,20,000,00,,,,,,,*
,岐阜県,,,21000 000 00,21000,000,00,,21000,210000000000,21,000,00,,,,,,,*
,静岡県,,,22000 000 00,22000,000,00,,22000,220000000000,22,000,00,,,,,,,*
,愛知県,,,23000 000 00,23000,000,00,,23000,230000000000,23,000,00,,,,,,,*
,三重県,,,24000 000 00,24000,000,00,,24000,240000000000,24,000,00,,,,,,,*
,滋賀県,,,25000 000 00,25000,000,00,,25000,250000000000,25,000,00,,,,,,,*
,京都府,,,26000 000 00,26000,000,00,,26000,260000000000,26,000,00,,,,,,,*
,大阪府,,,27000 000 00,27000,000,00,,27000,270000000000,27,000,00,,,,,,,*
,兵庫県,神戸市東灘区,,28101 000 00,28101,000,00,,28101,281010000000,28,101,00,,,,,,,*
,兵庫県,神戸市灘区,,28102 000 00,28102,000,00,,28102,281020000000,28,102,00,,,,,,,*
,兵庫県,神戸市兵庫区,,28105 000 00,28105,000,00,,28105,281050000000,28,105,00,,,,,,,*
,兵庫県,神戸市長田区,,28106 000 00,28106,000,00,,28106,281060000000,28,106,00,,,,,,,*
,兵庫県,神戸市須磨区,,28107 000 00,28107,000,00,,28107,281070000000,28,107,00,,,,,,,*
,兵庫県,神戸市垂水区,,28108 000 00,28108,000,00,,28108,281080000000,28,108,00,,,,,,,*
,兵庫県,神戸市北区,,28109 000 00,28109,000,00,,28109,281090000000,28,109,00,,,,,,,*
,兵庫県,神戸市中央区,,28110 000 00,28110,000,00,,28110,281100000000,28,110,00,,,,,,,*
,兵庫県,神戸市西区,,28111 000 00,28111,000,00,,28111,281110000000,28,111,00,,,,,,,*
,兵庫県,姫路市,,28201 000 00,28201,000,00,,28201,282010000000,28,201,00,,,,,,,*
,兵庫県,尼崎市,,28202 000 00,28202,000,00,,28202,282020000000,28,202,00,,,,,,,*
,兵庫県,明石市,,28203 000 00,28203,000,00,,28203,282030000000,28,203,00,,,,,,,*
,兵庫県,西宮市,,28204 000 00,28204,000,00,,28204,282040000000,28,204,00,,,,,,,*
,兵庫県,洲本市,,28205 000 00,28205,000,00,,28205,282050000000,28,205,00,,,,,,,*
,兵庫県,芦屋市,,28206 000 00,28206,000,00,,28206,282060000000,28,206,00,,,,,,,*
,兵庫県,伊丹市,,28207 000 00,28207,000,00,,28207,282070000000,28,207,00,,,,,,,*
,兵庫県,相生市,,28208 000 00,28208,000,00,,28208,282080000000,28,208,00,,,,,,,*
,兵庫県,豊岡市,,28209 000 00,28209,000,00,,28209,282090000000,28,209,00,,,,,,,*
,兵庫県,加古川市,,28210 000 00,28210,000,00,,28210,282100000000,28,210,00,,,,,,,*
,兵庫県,赤穂市,,28212 000 00,28212,000,00,,28212,282120000000,28,212,00,,,,,,,*
,兵庫県,西脇市,,28213 000 00,28213,000,00,,28213,282130000000,28,213,00,,,,,,,*
,兵庫県,宝塚市,,28214 000 00,28214,000,00,,28214,282140000000,28,214,00,,,,,,,*
,兵庫県,三木市,,28215 000 00,28215,000,00,,28215,282150000000,28,215,00,,,,,,,*
,兵庫県,高砂市,,28216 000 00,28216,000,00,,28216,282160000000,28,216,00,,,,,,,*
,兵庫県,川西市,,28217 000 00,28217,000,00,,28217,282170000000,28,217,00,,,,,,,*
,兵庫県,小野市,,28218 000 00,28218,000,00,,28218,282180000000,28,218,00,,,,,,,*
,兵庫県,三田市,,28219 000 00,28219,000,00,,28219,282190000000,28,219,00,,,,,,,*
,兵庫県,加西市,,28220 000 00,28220,000,00,,28220,282200000000,28,220,00,,,,,,,*
,兵庫県,篠山市,,28221 000 00,28221,000,00,,28221,282210000000,28,221,00,,,,,,,*
,兵庫県,養父市,,28222 000 00,28222,000,00,,28222,282220000000,28,222,00,,,,,,,*
,兵庫県,丹波市,,28223 000 00,28223,000,00,,28223,282230000000,28,223,00,,,,,,,*
,兵庫県,南あわじ市,,28224 000 00,28224,000,00,,28224,282240000000,28,224,00,,,,,,,*
,兵庫県,朝来市,,28225 000 00,28225,000,00,,28225,282250000000,28,225,00,,,,,,,*
,兵庫県,淡路市,,28226 000 00,28226,000,00,,28226,282260000000,28,226,00,,,,,,,*
,兵庫県,宍粟市,,28227 000 00,28227,000,00,,28227,282270000000,28,227,00,,,,,,,*
,兵庫県,加東市,,28228 000 00,28228,000,00,,28228,282280000000,28,228,00,,,,,,,*
,兵庫県,たつの市,,28229 000 00,28229,000,00,,28229,282290000000,28,229,00,,,,,,,*
,兵庫県,川辺郡猪名川町,,28301 000 00,28301,000,00,,28301,283010000000,28,301,00,,,,,,,*
,兵庫県,多可郡多可町,,28365 000 00,28365,000,00,,28365,283650000000,28,365,00,,,,,,,*
,兵庫県,加古郡稲美町,,28381 000 00,28381,000,00,,28381,283810000000,28,381,00,,,,,,,*
,兵庫県,加古郡播磨町,,28382 000 00,28382,000,00,,28382,283820000000,28,382,00,,,,,,,*
,兵庫県,神崎郡市川町,,28442 000 00,28442,000,00,,28442,284420000000,28,442,00,,,,,,,*
,兵庫県,神崎郡福崎町,,28443 000 00,28443,000,00,,28443,284430000000,28,443,00,,,,,,,*
,兵庫県,神崎郡神河町,,28446 000 00,28446,000,00,,28446,284460000000,28,446,00,,,,,,,*
,兵庫県,揖保郡太子町,,28464 000 00,28464,000,00,,28464,284640000000,28,464,00,,,,,,,*
,兵庫県,赤穂郡上郡町,,28481 000 00,28481,000,00,,28481,284810000000,28,481,00,,,,,,,*
,兵庫県,佐用郡佐用町,,28501 000 00,28501,000,00,,28501,285010000000,28,501,00,,,,,,,*
,兵庫県,美方郡香美町,,28585 000 00,28585,000,00,,28585,285850000000,28,585,00,,,,,,,*
,兵庫県,美方郡新温泉町,,28586 000 00,28586,000,00,,28586,285860000000,28,586,00,,,,,,,*
,奈良県,,,29000 000 00,29000,000,00,,29000,290000000000,29,000,00,,,,,,,*
,和歌山県,,,30000 000 00,30000,000,00,,30000,300000000000,30,000,00,,,,,,,*
,鳥取県,鳥取市,,31201 000 00,31201,000,00,,31201,312010000000,31,201,00,,,,,,,*
,鳥取県,米子市,,31202 000 00,31202,000,00,,31202,312020000000,31,202,00,,,,,,,*
,鳥取県,倉吉市,,31203 000 00,31203,000,00,,31203,312030000000,31,203,00,,,,,,,*
,鳥取県,境港市,,31204 000 00,31204,000,00,,31204,312040000000,31,204,00,,,,,,,*
,鳥取県,岩美郡岩美町,,31302 000 00,31302,000,00,,31302,313020000000,31,302,00,,,,,,,*
,鳥取県,八頭郡若桜町,,31325 000 00,31325,000,00,,31325,313250000000,31,325,00,,,,,,,*
,鳥取県,八頭郡智頭町,,31328 000 00,31328,000,00,,31328,313280000000,31,328,00,,,,,,,*
,鳥取県,八頭郡八頭町,,31329 000 00,31329,000,00,,31329,313290000000,31,329,00,,,,,,,*
,鳥取県,東伯郡三朝町,,31364 000 00,31364,000,00,,31364,313640000000,31,364,00,,,,,,,*
,鳥取県,東伯郡湯梨浜町,,31370 000 00,31370,000,00,,31370,313700000000,31,370,00,,,,,,,*
,鳥取県,東伯郡琴浦町,,31371 000 00,31371,000,00,,31371,313710000000,31,371,00,,,,,,,*
,鳥取県,東伯郡北栄町,,31372 000 00,31372,000,00,,31372,313720000000,31,372,00,,,,,,,*
,鳥取県,西伯郡日吉津村,,31384 000 00,31384,000,00,,31384,313840000000,31,384,00,,,,,,,*
,鳥取県,西伯郡大山町,,31386 000 00,31386,000,00,,31386,313860000000,31,386,00,,,,,,,*
,鳥取県,西伯郡南部町,,31389 000 00,31389,000,00,,31389,313890000000,31,389,00,,,,,,,*
,鳥取県,西伯郡伯耆町,,31390 000 00,31390,000,00,,31390,313900000000,31,390,00,,,,,,,*
,鳥取県,日野郡日南町,,31401 000 00,31401,000,00,,31401,314010000000,31,401,00,,,,,,,*
,鳥取県,日野郡日野町,,31402 000 00,31402,000,00,,31402,314020000000,31,402,00,,,,,,,*
,鳥取県,日野郡江府町,,31403 000 00,31403,000,00,,31403,314030000000,31,403,00,,,,,,,*
,島根県,,,32000 000 00,32000,000,00,,32000,320000000000,32,000,00,,,,,,,*
,岡山県,岡山市北区,葵町,33101 001 00,33101,001,00,,33101,331010001000,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,青江一丁目,33101 002 01,33101,002,01,南区にも青江あり,33101,331010002001,33,101,10,岡山市北区１０区,,,,,,*
,岡山県,岡山市北区,青江二丁目,33101 002 02,33101,002,02,南区にも青江あり,33101,331010002002,33,101,10,岡山市北区１０区,,,,岡山赤十字病院,,*
,岡山県,岡山市北区,青江三丁目,33101 002 03,33101,002,03,南区にも青江あり,33101,331010002003,33,101,10,岡山市北区１０区,,,,,,*
,岡山県,岡山市北区,青江四丁目,33101 002 04,33101,002,04,南区にも青江あり,33101,331010002004,33,101,10,岡山市北区１０区,,,,,,*
,岡山県,岡山市北区,青江五丁目,33101 002 05,33101,002,05,南区にも青江あり,33101,331010002005,33,101,10,岡山市北区１０区,,,,,,*
,岡山県,岡山市北区,旭本町,33101 003 00,33101,003,00,,33101,331010003000,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,旭町,33101 004 00,33101,004,00,,33101,331010004000,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,足守,33101 005 00,33101,005,00,,33101,331010005000,33,101,16,岡山市北区１６区,,,,,,*
,岡山県,岡山市北区,天瀬,33101 006 00,33101,006,00,,33101,331010006000,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,天瀬南町,33101 007 00,33101,007,00,,33101,331010007000,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,粟井,33101 008 00,33101,008,00,,33101,331010008000,33,101,16,岡山市北区１６区,,,,,,*
,岡山県,岡山市北区,石関町,33101 009 00,33101,009,00,,33101,331010009000,33,101,01,岡山市北区１区,,,,,,*
,岡山県,岡山市北区,石妻,33101 010 00,33101,010,00,,33101,331010010000,33,101,16,岡山市北区１６区,,岡山金陵カントリークラブ,,,,*
,岡山県,岡山市北区,伊島北町,33101 011 00,33101,011,00,,33101,331010011000,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,伊島町一丁目,33101 012 01,33101,012,01,,33101,331010012001,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,伊島町二丁目,33101 012 02,33101,012,02,,33101,331010012002,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,伊島町三丁目,33101 012 03,33101,012,03,,33101,331010012003,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,出石町一丁目,33101 013 01,33101,013,01,,33101,331010013001,33,101,01,岡山市北区１区,,,,,,*
,岡山県,岡山市北区,出石町二丁目,33101 013 02,33101,013,02,,33101,331010013002,33,101,05,岡山市北区５区,,,,,,*
,岡山県,岡山市北区,いずみ町,33101 014 00,33101,014,00,,33101,331010014000,33,101,04,岡山市北区４区,,,,岡山県総合グラウンド,,*
,岡山県,岡山市北区,一宮,33101 015 00,33101,015,00,,33101,331010015000,33,101,14,岡山市北区１４区,,,,,,*
,岡山県,岡山市北区,一宮山崎,33101 016 00,33101,016,00,,33101,331010016000,33,101,14,岡山市北区１４区,,,,,,*
,岡山県,岡山市北区,伊福町一丁目,33101 017 01,33101,017,01,,33101,331010017001,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,伊福町二丁目,33101 017 02,33101,017,02,,33101,331010017002,33,101,07,岡山市北区７区,,,,私立ノートルダム清心女子大学,,*
,岡山県,岡山市北区,伊福町三丁目,33101 017 03,33101,017,03,,33101,331010017003,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,伊福町四丁目,33101 017 04,33101,017,04,,33101,331010017004,33,101,07,岡山市北区７区,,,,岡山県立岡山工業高等学校,,*
,岡山県,岡山市北区,今一丁目,33101 018 01,33101,018,01,,33101,331010018001,33,101,08,岡山市北区８区,,,,,,*
,岡山県,岡山市北区,今二丁目,33101 018 02,33101,018,02,,33101,331010018002,33,101,08,岡山市北区８区,,,,,,*
,岡山県,岡山市北区,今三丁目,33101 018 03,33101,018,03,,33101,331010018003,33,101,08,岡山市北区８区,,,,,,*
,岡山県,岡山市北区,今四丁目,33101 018 04,33101,018,04,,33101,331010018004,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,今五丁目,33101 018 05,33101,018,05,,33101,331010018005,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,今六丁目,33101 018 06,33101,018,06,,33101,331010018006,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,今七丁目,33101 018 07,33101,018,07,,33101,331010018007,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,今八丁目,33101 018 08,33101,018,08,,33101,331010018008,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,今岡,33101 019 00,33101,019,00,,33101,331010019000,33,101,14,岡山市北区１４区,,,吉備ＳＡ,,,*
,岡山県,岡山市北区,今保,33101 020 00,33101,020,00,,33101,331010020000,33,101,21,岡山市北区２１区,,,,,,*
,岡山県,岡山市北区,今村,33101 021 00,33101,021,00,,33101,331010021000,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,岩井一丁目,33101 022 01,33101,022,01,,33101,331010022001,33,101,06,岡山市北区６区,,,,,,*
,岡山県,岡山市北区,岩井二丁目,33101 022 02,33101,022,02,,33101,331010022002,33,101,06,岡山市北区６区,,,,,,*
,岡山県,岡山市北区,岩井宮裏,33101 023 00,33101,023,00,,33101,331010023000,33,101,07,岡山市北区７区,,,,,,*
