day_type,zone_key,hour,population
休日,1000000,17,70.0
休日,1000000,18,70.0
休日,1000000,19,70.0
休日,1000000,20,70.0
休日,1000000,21,70.0
休日,1000000,22,70.0
休日,1000000,23,70.0
休日,11000000,20,62.5
休日,11000000,21,62.5
休日,11000000,22,62.5
休日,11000000,23,62.5
休日,12000000,9,70.5
休日,12000000,10,70.5
休日,12000000,11,70.5
休日,12000000,12,70.5
休日,12000000,13,70.5
休日,12000000,14,70.5
休日,12000000,15,70.5
休日,12000000,16,70.5
休日,12000000,17,70.5
休日,12000000,18,70.5
休日,12000000,19,70.5
休日,12000000,20,70.5
休日,12000000,21,34.5
休日,12000000,22,70.5
休日,12000000,23,70.5
休日,13000000,9,63.5
休日,13000000,10,104.5
休日,13000000,11,123.5
休日,13000000,12,91.0
休日,13000000,13,158.0
休日,13000000,14,127.0
休日,13000000,15,60.0
休日,13000000,16,86.0
休日,13000000,17,84.5
休日,13000000,18,67.0
休日,13000000,19,67.0
休日,13000000,20,108.0
休日,13000000,21,108.0
休日,13000000,22,67.0
休日,13000000,23,150.0
休日,2000000,12,16.0
休日,2000000,13,16.0
休日,2000000,14,16.0
休日,20000000,8,15.0
休日,20000000,9,15.0
休日,20000000,10,15.0
休日,20000000,11,15.0
休日,20000000,12,15.0
休日,20000000,13,15.0
休日,20000000,14,15.0
休日,20000000,16,15.0
休日,20000000,18,15.0
休日,20000000,19,15.0
休日,20000000,20,15.0
休日,20000000,21,15.0
休日,20000000,22,15.0
休日,20000000,23,15.0
休日,21000000,21,20.5
休日,21000000,22,20.5
休日,21000000,23,20.5
休日,22000000,12,51.0
休日,22000000,13,26.5
休日,22000000,14,51.0
休日,22000000,15,26.5
休日,22000000,16,51.0
休日,22000000,17,77.5
休日,22000000,18,77.5
休日,22000000,19,77.5
休日,22000000,20,77.5
休日,22000000,21,77.5
休日,22000000,22,77.5
休日,22000000,23,77.5
休日,23000000,9,43.0
休日,23000000,10,131.0
休日,23000000,11,131.0
休日,23000000,12,216.5
休日,23000000,13,152.0
休日,23000000,14,216.5
休日,23000000,15,225.0
休日,23000000,16,139.5
休日,23000000,17,225.0
休日,23000000,18,225.0
休日,23000000,19,257.0
休日,23000000,20,214.0
休日,23000000,21,257.0
休日,23000000,22,192.5
休日,23000000,23,192.5
休日,24000000,10,20.5
休日,24000000,11,20.5
休日,24000000,12,65.5
休日,24000000,14,65.5
休日,24000000,15,45.0
休日,24000000,16,45.0
休日,25000000,12,40.0
休日,25000000,13,40.0
休日,25000000,15,40.0
休日,26000000,9,94.0
休日,26000000,10,116.0
休日,26000000,11,81.0
休日,26000000,12,99.5
休日,26000000,13,45.0
休日,26000000,14,77.5
休日,26000000,15,62.0
休日,26000000,16,26.0
休日,26000000,17,98.5
休日,26000000,18,124.5
休日,26000000,19,124.5
休日,26000000,20,44.5
休日,26000000,21,44.5
休日,26000000,22,44.5
休日,26000000,23,44.5
休日,27000000,6,31.0
休日,27000000,7,128.0
休日,27000000,8,168.5
休日,27000000,9,282.0
休日,27000000,10,674.5
休日,27000000,11,862.0
休日,27000000,12,905.5
休日,27000000,13,931.0
休日,27000000,14,1096.0
休日,27000000,15,1065.0
休日,27000000,16,1026.0
休日,27000000,17,708.5
休日,27000000,18,597.5
休日,27000000,19,630.5
休日,27000000,20,313.0
休日,27000000,21,379.0
休日,27000000,22,436.0
休日,27000000,23,436.0
休日,28101000,19,24.5
休日,28101000,20,24.5
休日,28101000,21,24.5
休日,28101000,22,24.5
休日,28101000,23,24.5
休日,28105000,13,35.5
休日,28105000,14,35.5
休日,28105000,15,35.5
休日,28105000,16,35.5
休日,28105000,17,35.5
休日,28105000,18,35.5
休日,28106000,10,28.0
休日,28106000,11,28.0
休日,28106000,12,28.0
休日,28106000,13,28.0
休日,28106000,14,28.0
休日,28107000,11,25.0
休日,28109000,11,26.5
休日,28109000,12,26.5
休日,28109000,13,85.0
休日,28109000,14,85.0
休日,28109000,15,102.0
休日,28109000,16,145.0
休日,28109000,17,58.5
休日,28109000,18,101.5
休日,28109000,19,101.5
休日,28109000,20,58.5
休日,28109000,21,58.5
休日,28109000,22,58.5
休日,28109000,23,58.5
休日,28110000,10,139.0
休日,28110000,11,182.0
休日,28110000,12,320.0
休日,28110000,13,320.0
休日,28110000,14,278.0
休日,28110000,15,206.0
休日,28110000,16,192.0
休日,28110000,17,139.0
休日,28110000,18,139.0
休日,28110000,19,113.5
休日,28110000,20,113.5
休日,28110000,21,49.0
休日,28110000,22,49.0
休日,28110000,23,49.0
休日,28201000,8,18.5
休日,28201000,9,18.5
休日,28201000,10,88.0
休日,28201000,11,129.0
休日,28201000,12,129.0
休日,28201000,13,137.5
休日,28201000,14,85.0
休日,28201000,15,49.5
休日,28201000,16,147.5
休日,28201000,17,111.5
休日,28201000,18,17.0
休日,28202000,18,15.5
休日,28202000,19,15.5
休日,28202000,20,15.5
休日,28202000,21,15.5
休日,28202000,22,15.5
休日,28202000,23,15.5
休日,28204000,15,17.5
休日,28204000,16,80.5
休日,28204000,22,50.0
休日,28205000,16,17.5
休日,28205000,17,17.5
休日,28205000,18,17.5
休日,28205000,19,17.5
休日,28205000,20,17.5
休日,28205000,21,17.5
休日,28205000,22,17.5
休日,28205000,23,17.5
休日,28208000,9,18.5
休日,28208000,10,18.5
休日,28208000,11,18.5
休日,28208000,12,45.5
休日,28208000,13,18.5
休日,28208000,14,18.5
休日,28208000,15,18.5
休日,28210000,10,24.0
休日,28210000,11,24.0
休日,28210000,13,24.0
休日,28210000,14,24.0
休日,28210000,15,24.0
休日,28210000,16,24.0
休日,28210000,17,24.0
休日,28210000,18,24.0
休日,28210000,19,87.0
休日,28210000,20,24.0
休日,28210000,21,24.0
休日,28210000,22,24.0
休日,28210000,23,24.0
休日,28212000,10,117.0
休日,28212000,11,301.5
休日,28212000,12,301.5
休日,28212000,13,289.0
休日,28212000,14,361.0
休日,28212000,15,421.0
休日,28212000,16,394.5
休日,28212000,17,231.0
休日,28212000,18,231.0
休日,28212000,19,216.0
休日,28212000,20,216.0
休日,28212000,21,216.0
休日,28212000,22,216.0
休日,28212000,23,216.0
休日,28214000,10,60.5
休日,28214000,11,75.5
休日,28214000,12,75.5
休日,28214000,13,75.5
休日,28214000,14,75.5
休日,28214000,15,67.5
休日,28214000,16,52.5
休日,28214000,17,17.0
休日,28214000,18,17.0
休日,28215000,8,19.5
休日,28215000,9,46.0
休日,28215000,10,19.5
休日,28215000,11,19.5
休日,28215000,12,19.5
休日,28215000,13,19.5
休日,28215000,14,19.5
休日,28215000,15,19.5
休日,28217000,13,17.5
休日,28217000,14,18.0
休日,28217000,17,18.0
休日,28217000,18,35.5
休日,28217000,19,17.5
休日,28217000,20,17.5
休日,28217000,21,17.5
休日,28217000,22,17.5
休日,28217000,23,17.5
休日,28223000,10,19.5
休日,28223000,11,19.5
休日,28223000,12,19.5
休日,28223000,13,31.5
休日,28223000,14,51.0
休日,28223000,15,31.5
休日,28223000,16,31.5
休日,28224000,12,24.5
休日,28224000,13,24.5
休日,28224000,14,24.5
休日,28226000,12,53.5
休日,28226000,13,53.5
休日,28226000,14,53.5
休日,28226000,15,53.5
休日,28227000,8,16.0
休日,28227000,9,16.0
休日,28227000,10,16.0
休日,28227000,11,16.0
休日,28227000,12,59.0
休日,28227000,13,59.0
休日,28227000,14,16.0
休日,28227000,18,74.0
休日,28365000,10,40.0
休日,28365000,11,40.0
休日,28365000,12,40.0
休日,28365000,13,40.0
休日,28365000,14,40.0
休日,28365000,15,40.0
休日,28481000,14,32.5
休日,28481000,16,20.5
休日,28481000,17,20.5
休日,28481000,18,20.5
休日,28481000,19,20.5
休日,28481000,20,20.5
休日,28481000,21,20.5
休日,28481000,22,20.5
休日,28481000,23,20.5
休日,28501000,15,18.5
休日,29000000,10,25.0
休日,29000000,11,25.0
休日,29000000,12,25.0
休日,29000000,13,25.0
休日,29000000,14,25.0
休日,29000000,15,25.0
休日,29000000,16,25.0
休日,29000000,17,25.0
休日,29000000,18,25.0
休日,29000000,19,25.0
休日,29000000,20,25.0
休日,29000000,21,25.0
休日,29000000,22,25.0
休日,29000000,23,25.0
休日,3000000,18,16.0
休日,3000000,19,16.0
休日,3000000,20,16.0
休日,3000000,21,16.0
休日,3000000,22,16.0
休日,3000000,23,16.0
休日,30000000,9,40.0
休日,30000000,10,40.0
休日,30000000,11,40.0
休日,30000000,12,64.0
休日,30000000,13,24.0
休日,30000000,14,24.0
休日,30000000,15,24.0
休日,30000000,17,24.0
休日,30000000,18,24.0
休日,30000000,19,24.0
休日,30000000,20,24.0
休日,30000000,21,24.0
休日,30000000,22,24.0
休日,30000000,23,24.0
休日,31201000,6,26.5
休日,31201000,7,26.5
休日,31201000,8,26.5
休日,31201000,9,26.5
休日,31201000,10,171.5
休日,31201000,11,154.5
休日,31201000,12,248.0
休日,31201000,13,259.0
休日,31201000,14,241.5
休日,31201000,15,161.5
休日,31201000,16,77.0
休日,31201000,17,13.0
休日,31201000,18,70.5
休日,31201000,19,70.5
休日,31201000,20,70.5
休日,31201000,21,70.5
休日,31201000,22,70.5
休日,31201000,23,70.5
休日,31202000,10,41.5
休日,31202000,11,131.5
休日,31202000,12,244.0
休日,31202000,13,107.0
休日,31202000,14,59.0
休日,31202000,15,59.0
休日,31202000,16,43.0
休日,31202000,17,43.0
休日,31202000,18,97.5
休日,31202000,19,82.5
休日,31202000,20,82.5
休日,31202000,21,82.5
休日,31202000,22,98.0
休日,31202000,23,139.5
休日,31203000,9,91.0
休日,31203000,10,132.5
休日,31203000,11,175.5
休日,31203000,12,73.0
休日,31203000,13,117.0
休日,31203000,14,151.5
休日,31203000,15,168.5
休日,31203000,16,88.5
休日,31203000,17,150.5
休日,31203000,18,150.5
休日,31203000,19,52.5
休日,31203000,20,52.5
休日,31203000,21,52.5
休日,31203000,22,52.5
休日,31203000,23,52.5
休日,31204000,11,48.0
